network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
1.0.156.0/23,1153035,1605651,,0,0,83120,7.9167,98.3500,100
1.0.158.0/23,1150515,1605651,,0,0,84150,9.1401,99.3331,100
1.0.160.0/21,1150515,1605651,,0,0,84000,9.1308,99.3628,100
1.0.168.0/23,1154689,1605651,,0,0,84140,9.5357,99.9357,200
1.0.170.0/23,7290492,1605651,,0,0,84150,9.1503,99.3058,200
1.0.172.0/22,1150452,1605651,,0,0,82110,8.8333,98.3667,100
1.0.176.0/23,1607017,1605651,,0,0,21000,12.6667,101.2833,20
1.0.178.0/23,1607017,1605651,,0,0,21210,12.9333,101.5167,100
1.0.180.0/23,1620954,1605651,,0,0,20000,13.3396,99.9296,50
1.0.182.0/23,1614240,1605651,,0,0,24140,14.6000,101.0833,50
1.0.184.0/23,1611439,1605651,,0,0,24130,14.5500,101.0000,50
1.0.186.0/23,1611110,1605651,,0,0,20000,13.3622,100.9835,20
1.0.188.0/23,1606250,1605651,,0,0,20110,13.1737,100.9311,10
1.0.190.0/24,1607017,1605651,,0,0,21000,12.6667,101.2833,50
1.0.191.0/24,1609350,1605651,,0,0,10150,13.6984,100.4638,200
1.0.192.0/23,1156900,1605651,,0,0,,8.7000,98.2500,100
1.0.194.0/23,1151254,1605651,,0,0,83000,7.9500,98.3564,10
1.0.196.0/22,1151254,1605651,,0,0,83120,7.9167,98.3500,500
1.0.200.0/24,1614295,1605651,,0,0,20150,13.0508,100.9367,10
1.0.201.0/24,1609350,1605651,,0,0,10510,13.8167,100.7500,20
1.0.202.0/23,1153557,1605651,,0,0,86140,10.6667,99.1667,20
1.0.204.0/22,1153090,1605651,,0,0,62110,16.6667,99.6000,200
1.0.208.0/22,1606586,1605651,,0,0,75000,13.4000,100.0000,50
1.0.212.0/22,1609350,1605651,,0,0,10160,13.7159,100.4170,100
1.0.216.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.224.0/20,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.240.0/22,1609350,1605651,,0,0,10110,13.7086,100.4553,200
1.0.244.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.248.0/22,1606147,1605651,,0,0,90000,7.0167,100.6619,200
1.0.252.0/23,1150954,1605651,,0,0,70000,13.5854,99.7875,100
1.0.254.0/23,1607978,1605651,,0,0,94000,6.7580,101.3775,100
1.1.0.0/24,1811017,1814991,,0,0,,24.4798,118.0819,50
1.1.1.0/24,2077456,2077456,,0,0,,-33.4940,143.2104,1000
1.1.2.0/23,1811017,1814991,,0,0,,24.4798,118.0819,50
1.1.4.0/22,1811017,1814991,,0,0,,24.4798,118.0819,50
1.1.8.0/24,1814991,1814991,,0,0,,34.7725,113.7266,50
1.1.9.0/24,1809935,1814991,,0,0,,23.1167,113.2500,50
1.1.10.0/23,1809935,1814991,,0,0,,23.1167,113.2500,50
1.1.12.0/22,1809935,1814991,,0,0,,23.1167,113.2500,50
1.1.16.0/20,1809935,1814991,,0,0,,23.1167,113.2500,50
1.1.32.0/19,1809935,1814991,,0,0,,23.1167,113.2500,50
1.1.64.0/19,1861060,1861060,,0,0,,35.6900,139.6900,500
1.1.96.0/20,1861060,1861060,,0,0,,35.6900,139.6900,500
1.1.112.0/21,1861060,1861060,,0,0,,35.6900,139.6900,500
1.1.120.0/22,1861060,1861060,,0,0,,35.6900,139.6900,500
1.1.124.0/24,1861060,1861060,,0,0,,35.6900,139.6900,500
1.1.125.0/27,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.32/28,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.48/30,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.52/32,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.53/32,1850147,1861060,,0,0,102-0082,35.6882,139.7532,1000
1.1.125.54/32,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.55/32,1850147,1861060,,0,0,102-0082,35.6882,139.7532,1000
1.1.125.56/30,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.60/31,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.62/31,1850147,1861060,,0,0,102-0082,35.6882,139.7532,1000
1.1.125.64/28,1850147,1861060,,0,0,102-0082,35.6882,139.7532,1000
1.1.125.80/29,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.88/31,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.90/32,1850147,1861060,,0,0,102-0082,35.6882,139.7532,1000
1.1.125.91/32,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.92/32,1850147,1861060,,0,0,102-0082,35.6882,139.7532,1000
1.1.125.93/32,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.94/31,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.125.96/27,1850147,1861060,,0,0,102-0082,35.6882,139.7532,1000
1.1.125.128/25,1861060,1861060,,0,0,,35.6900,139.6900,1000
1.1.126.0/23,1861060,1861060,,0,0,,35.6900,139.6900,500
1.1.128.0/23,1611909,1605651,,0,0,42180,16.8833,101.8833,200
1.1.130.0/23,1603666,1605651,,0,0,43120,18.0167,103.2833,200
1.1.132.0/22,1609776,1605651,,0,0,40000,16.2950,102.6138,100
1.1.136.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.1.144.0/23,7748353,1605651,,0,0,,17.4920,102.6731,100
1.1.146.0/23,1609071,1605651,,0,0,42000,17.4905,101.7275,100
1.1.148.0/23,1606147,1605651,,0,0,90000,7.0167,100.6619,100
1.1.150.0/23,7748353,1605651,,0,0,,17.4920,102.6731,100
1.1.152.0/22,1152670,1605651,,0,0,81150,7.5500,99.0833,200
1.1.156.0/23,1150964,1605651,,0,0,85110,10.4000,98.7833,200
1.1.158.0/23,1606147,1605651,,0,0,90000,7.0167,100.6619,200
1.1.160.0/22,1153669,1605651,,0,0,57000,19.9000,99.8333,100
1.1.164.0/23,1153671,1605651,,0,0,50000,18.7910,98.9782,100
1.1.166.0/24,1153669,1605651,,0,0,57000,19.9000,99.8333,100
1.1.167.0/24,1151848,1605651,,0,0,52110,18.7575,99.9783,100
1.1.168.0/23,1152473,1605651,,0,0,52000,18.2983,99.5072,200
1.1.170.0/23,1152468,1605651,,0,0,51120,18.5244,98.9386,200
1.1.172.0/22,1609350,1605651,,0,0,10330,13.7877,100.5068,500
1.1.176.0/22,1609350,1605651,,0,0,10510,13.8167,100.7500,20
1.1.180.0/22,1606030,1605651,,0,0,,14.8818,103.4936,100
1.1.184.0/22,1609776,1605651,,0,0,40000,16.2950,102.6138,200
1.1.188.0/22,1620254,1605651,,0,0,21130,12.7167,101.0667,50
1.1.192.0/23,1609071,1605651,,0,0,42000,17.4905,101.7275,100
1.1.194.0/23,1605239,1605651,,0,0,41000,17.4157,102.7859,100
1.1.196.0/22,1609071,1605651,,0,0,42000,17.4905,101.7275,100
1.1.200.0/22,1609776,1605651,,0,0,40000,16.2950,102.6138,200
1.1.204.0/22,1606790,1605651,,0,0,47260,16.9833,104.1333,200
1.1.208.0/22,1605239,1605651,,0,0,41000,17.4157,102.7859,100
1.1.212.0/25,1606790,1605651,,0,0,47000,17.4046,103.7674,100
1.1.212.128/25,1609776,1605651,,0,0,40140,16.7000,102.8667,100
1.1.213.0/24,1606790,1605651,,0,0,47000,17.4046,103.7674,100
1.1.214.0/23,1606790,1605651,,0,0,47000,17.4046,103.7674,100
1.1.216.0/21,1611453,1605651,,0,0,31140,14.6167,103.0833,500
1.1.224.0/23,1611453,1605651,,0,0,31140,14.6167,103.0833,200
1.1.226.0/23,1608529,1605651,,0,0,30280,14.9747,101.9850,200
1.1.228.0/22,1608529,1605651,,0,0,30140,14.8994,101.7083,200
1.1.232.0/22,1609071,1605651,,0,0,42000,17.4905,101.7275,200
1.1.236.0/23,1611475,1605651,,0,0,43140,18.3833,103.6167,200
1.1.238.0/23,1605076,1605651,,0,0,47120,17.6333,103.7667,200
1.1.240.0/21,1606239,1605651,,0,0,33000,15.1148,104.3294,200
1.1.248.0/22,1609350,1605651,,0,0,10600,13.7330,100.4865,500
1.1.252.0/23,1609350,1605651,,0,0,10600,13.7330,100.4865,500
1.1.254.0/23,1605239,1605651,,0,0,41130,17.1350,102.9720,500
1.2.0.0/23,1811017,1814991,,0,0,,24.4798,118.0819,50
1.2.2.0/24,2038349,1814991,,0,0,,39.9289,116.3883,50
1.2.3.0/24,524901,2077456,,0,0,144700,55.7527,37.6172,1000
1.2.4.0/24,1814991,1814991,,0,0,,34.7725,113.7266,50
1.2.5.0/24,1811017,1814991,,0,0,,24.4798,118.0819,50
1.2.6.0/23,1811017,1814991,,0,0,,24.4798,118.0819,50
1.2.8.0/24,1814991,1814991,,0,0,,34.7725,113.7266,50
1.2.9.0/24,1489425,1814991,,0,0,634000,56.5000,84.9667,50
1.2.10.0/23,1809935,1814991,,0,0,,23.1167,113.2500,50
1.2.12.0/22,1809935,1814991,,0,0,,23.1167,113.2500,50
1.2.16.0/20,1809935,1814991,,0,0,,23.1167,113.2500,50
1.2.32.0/19,1809935,1814991,,0,0,,23.1167,113.2500,50
1.2.64.0/18,1809935,1814991,,0,0,,23.1167,113.2500,50
1.2.128.0/23,1609071,1605651,,0,0,42240,17.3250,101.8750,100
1.2.130.0/23,1609071,1605651,,0,0,42000,17.4905,101.7275,100
1.2.132.0/22,1609071,1605651,,0,0,42240,17.3250,101.8750,100
1.2.136.0/22,1608597,1605651,,0,0,49140,16.4792,104.6583,200
1.2.140.0/22,1605239,1605651,,0,0,41000,17.4157,102.7859,50
1.2.144.0/22,1601776,1605651,,0,0,,15.9000,103.1667,100
1.2.148.0/22,1605239,1605651,,0,0,41000,17.4157,102.7859,100
1.2.152.0/22,1609071,1605651,,0,0,42000,17.4905,101.7275,50
1.2.156.0/23,1614336,1605651,,0,0,41110,17.1350,102.9720,200
1.2.158.0/23,1609776,1605651,,0,0,40160,16.4467,102.8330,200
1.2.160.0/22,1608527,1605651,,0,0,60000,15.6833,100.1167,500
1.2.164.0/24,1617256,1605651,,0,0,,15.4242,101.6539,500
1.2.165.0/24,1608527,1605651,,0,0,60000,15.6833,100.1167,500
1.2.166.0/23,1607978,1605651,,0,0,94000,6.7580,101.3775,500
1.2.168.0/21,1609350,1605651,,0,0,10160,13.7159,100.4170,500
1.2.176.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.184.0/22,1608534,1605651,,0,0,73000,13.8667,100.1917,100
1.2.188.0/23,1609032,1605651,,0,0,15000,14.8000,100.6167,100
1.2.190.0/23,1608534,1605651,,0,0,73000,13.8667,100.1917,100
1.2.192.0/21,1608527,1605651,,0,0,60000,15.6833,100.1167,200
1.2.200.0/22,1607725,1605651,,0,0,66000,16.4333,100.3667,1
1.2.204.0/23,1153090,1605651,,0,0,62000,16.3100,99.6800,100
1.2.206.0/23,1608527,1605651,,0,0,60000,15.6833,100.1167,100
1.2.208.0/20,1605651,1605651,,0,0,,13.7500,100.4667,500
1.2.224.0/22,1609350,1605651,,0,0,10110,13.7086,100.4553,200
1.2.228.0/23,1611492,1605651,,0,0,30120,15.5833,102.4167,200
1.2.230.0/24,1608529,1605651,,0,0,30000,15.0598,102.2215,50
1.2.231.0/24,1608529,1605651,,0,0,30000,15.0598,102.2215,100
1.2.232.0/23,1151254,1605651,,0,0,83000,7.9500,98.3564,500
1.2.234.0/23,1153079,1605651,,0,0,84160,9.1667,99.4667,500
1.2.236.0/22,1153079,1605651,,0,0,84160,9.1667,99.4667,500
1.2.240.0/22,1153090,1605651,,0,0,62000,16.3100,99.6800,100
1.2.244.0/22,1150489,1605651,,0,0,63110,16.7167,98.5667,100
1.2.248.0/23,1611269,1605651,,0,0,22000,12.6528,102.1222,200
1.2.250.0/23,1618030,1605651,,0,0,,16.4007,102.6842,200
1.2.252.0/22,1618030,1605651,,0,0,,16.4007,102.6842,200
1.3.0.0/16,1809935,1814991,,0,0,,23.1167,113.2500,50
1.4.0.0/24,2077456,2077456,,0,0,,-33.4940,143.2104,1000
1.4.1.0/24,1811017,1814991,,0,0,,24.4798,118.0819,50
1.4.2.0/23,1811017,1814991,,0,0,,24.4798,118.0819,50
1.4.4.0/24,2038349,1814991,,0,0,,39.9289,116.3883,50
1.4.5.0/24,1811017,1814991,,0,0,,24.4798,118.0819,50
1.4.6.0/23,1811017,1814991,,0,0,,24.4798,118.0819,50
1.4.8.0/24,1809935,1814991,,0,0,,23.1167,113.2500,50
1.4.9.0/24,498817,1814991,,0,0,190005,59.8981,30.2619,50
1.4.10.0/23,1809935,1814991,,0,0,,23.1167,113.2500,50
1.4.12.0/22,1809935,1814991,,0,0,,23.1167,113.2500,50
1.4.16.0/20,1809935,1814991,,0,0,,23.1167,113.2500,50
1.4.32.0/19,1809935,1814991,,0,0,,23.1167,113.2500,50
1.4.64.0/18,1809935,1814991,,0,0,,23.1167,113.2500,50
1.4.128.0/23,1620455,1605651,,0,0,,17.9475,101.7353,200
1.4.130.0/23,1606790,1605651,,0,0,47180,17.0833,103.8167,200
1.4.132.0/22,1609071,1605651,,0,0,42000,17.4905,101.7275,200
1.4.136.0/23,1605239,1605651,,0,0,41000,17.4157,102.7859,100
1.4.138.0/23,1609071,1605651,,0,0,42000,17.4905,101.7275,100
1.4.140.0/22,1609071,1605651,,0,0,42000,17.4905,101.7275,20
1.4.144.0/21,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.152.0/22,1606350,1605651,,0,0,47110,17.4719,103.4583,50
1.4.156.0/23,1607978,1605651,,0,0,94180,6.6819,101.2714,1000
1.4.158.0/24,8230299,1605651,,0,0,55150,18.3167,100.7167,1000
1.4.159.0/24,1607978,1605651,,0,0,94180,6.6819,101.2714,1000
1.4.160.0/24,1609350,1605651,,0,0,10510,13.8167,100.7500,10
1.4.161.0/24,1609350,1605651,,0,0,10200,13.7594,100.4889,20
1.4.162.0/24,1609350,1605651,,0,0,10250,13.8594,100.4775,20
1.4.163.0/24,1609350,1605651,,0,0,10510,13.8167,100.7500,10
1.4.164.0/22,1609350,1605651,,0,0,10520,13.7167,100.7833,20
1.4.168.0/21,1609350,1605651,,0,0,10250,13.8594,100.4775,20
1.4.176.0/23,1609776,1605651,,0,0,40270,16.4500,102.6333,100
1.4.178.0/23,1605239,1605651,,0,0,41000,17.4157,102.7859,100
1.4.180.0/22,1605239,1605651,,0,0,41000,17.4157,102.7859,100
1.4.184.0/22,1609776,1605651,,0,0,40270,16.4500,102.6333,100
1.4.188.0/22,1601217,1605651,,0,0,,17.2601,103.2992,100
1.4.192.0/23,1609350,1605651,,0,0,10520,13.7167,100.7833,20
1.4.194.0/23,8533914,1605651,,0,0,10400,13.7618,100.5324,100
1.4.196.0/22,7026720,1605651,,0,0,10160,13.7159,100.4170,200
1.4.200.0/21,1607017,1605651,,0,0,21000,12.6667,101.2833,500
1.4.208.0/22,1608133,1605651,,0,0,11000,13.8908,100.4333,200
1.4.212.0/23,1610571,1605651,,0,0,16110,15.0000,100.3333,100
1.4.214.0/23,1608133,1605651,,0,0,11140,13.8500,100.4333,100
1.4.216.0/22,1150965,1605651,,0,0,85000,9.9667,98.6333,500
1.4.220.0/22,1608534,1605651,,0,0,73000,13.8667,100.1917,20
1.4.224.0/23,1610958,1605651,,0,0,42120,17.2833,101.1500,50
1.4.226.0/23,1610469,1605651,,0,0,46120,16.4000,103.3833,500
1.4.228.0/23,1608597,1605651,,0,0,49000,16.4792,104.6583,200
1.4.230.0/23,1609071,1605651,,0,0,42000,17.4905,101.7275,200
1.4.232.0/22,1606790,1605651,,0,0,47000,17.4046,103.7674,200
1.4.236.0/23,1609776,1605651,,0,0,40000,16.2950,102.6138,100
1.4.238.0/23,1605239,1605651,,0,0,41000,17.4157,102.7859,100
1.4.240.0/22,1605651,1605651,,0,0,,13.7500,100.4667,500
1.4.244.0/22,1150965,1605651,,0,0,85000,9.9667,98.6333,100
1.4.248.0/23,1150007,1605651,,0,0,92000,7.5611,99.5417,200
1.4.250.0/23,1151933,1605651,,0,0,80000,8.4333,99.9667,100
1.4.252.0/23,1606147,1605651,,0,0,90110,7.1000,100.4167,20
1.4.254.0/23,1606147,1605651,,0,0,90000,7.0167,100.6619,20
1.5.0.0/16,1861060,1861060,,0,0,,35.6900,139.6900,500
1.6.0.0/22,1264527,1269750,,0,0,600001,13.0878,80.2785,500
1.6.4.0/24,1259229,1269750,,0,0,411005,18.5196,73.8554,500
1.6.5.0/24,1275339,1269750,,0,0,400070,19.0728,72.8826,500
1.6.6.0/23,1264527,1269750,,0,0,600001,13.0878,80.2785,500
1.6.8.0/21,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.16.0/20,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.32.0/21,1259229,1269750,,0,0,411005,18.5196,73.8554,100
1.6.40.0/21,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.48.0/21,1266976,1269750,,0,0,721301,22.3397,87.3250,100
1.6.56.0/21,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.64.0/22,1264527,1269750,,0,0,600042,13.0878,80.2785,500
1.6.68.0/22,1277333,1269750,,0,0,560002,12.9719,77.5937,100
1.6.72.0/23,1275339,1269750,,0,0,400022,19.0728,72.8826,100
1.6.74.0/23,1259229,1269750,,0,0,411005,18.5196,73.8554,100
1.6.76.0/22,1259229,1269750,,0,0,411005,18.5196,73.8554,100
1.6.80.0/21,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.88.0/21,1275339,1269750,,0,0,400070,19.0728,72.8826,10
1.6.96.0/20,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.112.0/21,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.120.0/21,1277333,1269750,,0,0,560002,12.9719,77.5937,1
1.6.128.0/19,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.160.0/20,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.176.0/21,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.6.184.0/21,1275339,1269750,,0,0,400703,19.0368,73.0158,100
1.6.192.0/18,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.7.0.0/16,1269750,1269750,,0,0,,20.0000,77.0000,1000
1.8.0.0/16,2038349,1814991,,0,0,,39.9289,116.3883,50
1.9.0.0/21,1735158,1733045,,0,0,47500,3.0886,101.6070,10
1.9.8.0/22,1735161,1733045,,0,0,50088,3.1479,101.7008,20
1.9.12.0/22,1735158,1733045,,0,0,47300,3.1071,101.6139,10
1.9.16.0/22,1735166,1733045,,0,0,68100,3.2251,101.6803,20
1.9.20.0/22,1735161,1733045,,0,0,57000,3.1013,101.6915,1
1.9.24.0/22,1735161,1733045,,0,0,56100,3.1197,101.7275,10
1.9.28.0/23,1735161,1733045,,0,0,56100,3.1197,101.7275,10
1.9.30.0/24,6697380,1733045,,0,0,62000,2.9264,101.6964,10
1.9.31.0/24,1735161,1733045,,0,0,55100,3.1390,101.7200,10
1.9.32.0/22,1735161,1733045,,0,0,58200,3.0947,101.6796,10
1.9.36.0/22,1735161,1733045,,0,0,53300,3.1684,101.7033,10
1.9.40.0/21,1735158,1733045,,0,0,46200,3.0832,101.6407,10
1.9.48.0/22,1732752,1733045,,0,0,81300,1.5438,103.6461,200
1.9.52.0/23,1732752,1733045,,0,0,81300,1.5438,103.6461,200
1.9.54.0/24,1735161,1733045,,0,0,59100,3.1336,101.6675,200
1.9.55.0/24,1732903,1733045,,0,0,40200,3.0544,101.5169,200
1.9.56.0/21,1735161,1733045,,0,0,50450,3.1512,101.7103,5
1.9.64.0/22,1735106,1733045,,0,0,11700,5.3653,100.3067,100
1.9.68.0/23,1736338,1733045,,0,0,06400,6.0432,100.5221,50
1.9.70.0/23,1734439,1733045,,0,0,08100,5.7879,100.4719,50
1.9.72.0/23,1735450,1733045,,0,0,32200,4.3170,100.7977,100
1.9.74.0/24,1735450,1733045,,0,0,32200,4.3170,100.7977,100
1.9.75.0/24,1734634,1733045,,0,0,31400,4.6114,101.1043,100
1.9.76.0/23,1735102,1733045,,0,0,11900,5.3294,100.2907,100
1.9.78.0/23,1734634,1733045,,0,0,30250,4.5916,101.0967,100
1.9.80.0/21,1735076,1733045,,0,0,13400,5.4020,100.3940,200
1.9.88.0/21,1733045,1733045,,0,0,,2.5000,112.5000,1000
1.9.96.0/21,1734810,1733045,,0,0,71450,2.7010,101.9617,200
1.9.104.0/22,1735161,1733045,,0,0,50100,3.1489,101.6936,10
1.9.108.0/23,1735161,1733045,,0,0,50100,3.1489,101.6936,10
1.9.110.0/24,1735161,1733045,,0,0,51200,3.1876,101.6720,10
1.9.111.0/24,1749825,1733045,,0,0,47150,3.1013,101.5693,10
1.9.112.0/22,1735161,1733045,,0,0,57000,3.1013,101.6915,5
1.9.116.0/24,1735158,1733045,,0,0,47810,3.1440,101.5875,10
1.9.117.0/24,1732752,1733045,,0,0,80500,1.4655,103.7578,20
1.9.118.0/23,1735102,1733045,,0,0,11900,5.3294,100.2907,20
1.9.120.0/23,1735158,1733045,,0,0,47820,3.1571,101.6019,20
1.9.122.0/24,1760605,1733045,,0,0,48200,3.2167,101.6333,20
1.9.123.0/24,1741562,1733045,,0,0,42800,2.7691,101.5625,50
1.9.124.0/23,10941913,1733045,,0,0,43000,3.0081,101.7719,5
1.9.126.0/25,1735161,1733045,,0,0,58100,3.1198,101.6889,10
1.9.126.128/25,1749825,1733045,,0,0,47100,3.0732,101.6221,5
1.9.127.0/24,1735161,1733045,,0,0,50088,3.1479,101.7008,10
1.9.128.0/22,1735634,1733045,,0,0,93050,1.5831,110.2251,1000
1.9.132.0/23,1734747,1733045,,0,0,77000,2.2933,102.4146,20
1.9.134.0/24,1734810,1733045,,0,0,70100,2.7107,101.9513,50
1.9.135.0/24,1732738,1733045,,0,0,81930,1.6712,103.9725,200
1.9.136.0/21,1732903,1733045,,0,0,40000,3.0797,101.5186,50
1.9.144.0/22,1732811,1733045,,0,0,86000,1.9226,103.4038,200
1.9.148.0/22,1732903,1733045,,0,0,40470,3.0608,101.5661,10
1.9.152.0/21,1735161,1733045,,0,0,59100,3.1336,101.6675,5
1.9.160.0/22,1735161,1733045,,0,0,59200,3.1189,101.6746,200
1.9.164.0/23,1768409,1733045,,0,0,24000,4.3305,103.3520,200
1.9.166.0/23,1735161,1733045,,0,0,59200,3.1189,101.6746,200
1.9.168.0/21,8504423,1733045,,0,0,47500,3.0537,101.5920,20
1.9.176.0/25,1734781,1733045,,0,0,42700,2.9092,101.5279,10
1.9.176.128/25,1735158,1733045,,0,0,47301,3.1065,101.6079,10
1.9.177.0/24,1735158,1733045,,0,0,47301,3.1065,101.6079,10
1.9.178.0/23,1735158,1733045,,0,0,47301,3.1065,101.6079,10
1.9.180.0/24,1735158,1733045,,0,0,47300,3.1071,101.6139,5
1.9.181.0/24,1732752,1733045,,0,0,81200,1.5249,103.6874,10
1.9.182.0/24,1734810,1733045,,0,0,70300,2.7313,101.9307,5
1.9.183.0/24,1733432,1733045,,0,0,88450,5.9558,116.0368,1000
1.9.184.0/23,10941913,1733045,,0,0,43007,2.9927,101.7909,200
1.9.186.0/23,1735498,1733045,,0,0,08007,5.6470,100.4877,200
1.9.188.0/22,1735498,1733045,,0,0,08007,5.6470,100.4877,200
1.9.192.0/21,1733432,1733045,,0,0,88300,5.9479,116.0827,500
1.9.200.0/22,1737486,1733045,,0,0,97000,3.1667,113.0333,200
1.9.204.0/23,1735161,1733045,,0,0,58200,3.0947,101.6796,200
1.9.206.0/23,1733432,1733045,,0,0,88600,5.9749,116.0724,1000
1.9.208.0/23,1735168,1733045,,0,0,68000,3.1543,101.7432,100
1.9.210.0/23,1771287,1733045,,0,0,71800,2.8093,101.8334,100
1.9.212.0/23,1734826,1733045,,0,0,71450,2.6910,101.9890,50
1.9.214.0/23,1735161,1733045,,0,0,53300,3.1684,101.7033,10
1.9.216.0/21,1732903,1733045,,0,0,40150,3.1100,101.5538,200
1.9.224.0/23,1771287,1733045,,0,0,71800,2.8093,101.8334,100
1.9.226.0/23,1732903,1733045,,0,0,40100,3.0799,101.5334,100
1.9.228.0/22,1771287,1733045,,0,0,71800,2.8093,101.8334,100
1.9.232.0/21,1733045,1733045,,0,0,,2.5000,112.5000,1000
1.9.240.0/22,1735161,1733045,,0,0,58000,3.1249,101.6831,10
1.9.244.0/23,1735158,1733045,,0,0,46200,3.0832,101.6407,10
1.9.246.0/24,1732752,1733045,,0,0,81100,1.5510,103.7096,10
1.9.247.0/25,1777077,1733045,,0,0,43200,3.0643,101.7543,10
1.9.247.128/25,1735161,1733045,,0,0,58000,3.1249,101.6831,10
1.9.248.0/21,1733045,1733045,,0,0,,2.5000,112.5000,1000
